index,company,total_filings,avg_salary
1033,SIGMA SOFTWARE LLC,484.0,$75480
1034,LIBERTY MUTUAL GROUP INC,484.0,$96462
1035,ABAL TECHNOLOGIES INC,484.0,$88573
1036,RESOURCE LOGISTICS INC,484.0,$98486
1037,THE UNIV OF ALA AT BIRMINGHAM (UAB),483.0,$56743
1038,R3 TECHNOLOGY INC,483.0,$95780
1039,CSC HOLDINGS LLC,482.0,$111167
1040,8K MILES HEALTH CLOUD INC,482.0,$73665
1041,IT CATS LLC,480.0,$90836
1042,ZOOX INC,480.0,$141263
1043,HORIZON TECHNOLOGIES INC,480.0,$69330
1044,BLUE CROSS BLUE SHIELD OF MICHIGAN,478.0,$91421
1045,BAHA INDUSTRIES CORP,478.0,$135511
1046,PROSOFT TECHNOLOGY GROUP INC,478.0,$94991
1047,SARAS AMERICA INC,478.0,$66091
1048,SIERRA CONSULTING INC,477.0,$76903
1049,TECHNIP USA INC,476.0,$112051
1050,HCA MANAGEMENT SERVICES LP,475.0,$89359
1051,WASHINGTON UNIVERSITY,475.0,$84910
1052,ELAJIKA INC,474.0,$76132
1053,VIRTUAL MATRIX CORPORATION,474.0,$68545
1054,COVIDIEN LP,474.0,$91586
1055,STANDARD & POOR'S FINANCIAL SERVICES LLC,474.0,$117320
1056,TALENT IT SERVICES INC,474.0,$81721
1057,TECHWAVE CONSULTING INC,474.0,$76725
1058,GOLDMAN SACHS & CO LLC,472.0,$125359
1059,BROADRIDGE FINANCIAL SOLUTIONS INC,471.0,$113641
1060,SPIRENT COMMUNICATIONS INC,471.0,$95205
1061,WELLINGTON MANAGEMENT COMPANY LLP,471.0,$120537
1062,HAPPIEST MINDS TECHNOLOGIES PRIVATE LTD,471.0,$86465
1063,INFOVISION INC,471.0,$94963
1064,SAPVIX INC,469.0,$75364
1065,UNIVERSITY OF HAWAII,468.0,$82307
1066,DASSAULT SYSTEMES AMERICAS CORP,468.0,$106673
1067,A1 KAISER INC,468.0,$72550
1068,JETCOM INC,467.0,$132977
1069,LAKSAN TECHNOLOGIES LLC,467.0,$81991
1070,ADVANCED KNOWLEDGE TECH LLC,467.0,$83441
1071,VEN SOFT LLC,467.0,$75892
1072,ISTREAM SOLUTIONS INC,466.0,$97458
1073,SYMBIOUN TECHNOLOGIES INC,466.0,$86452
1074,FLORIDA INTERNATIONAL UNIVERSITY,466.0,$78326
1075,MAPLEBEAR INC,466.0,$155155
1076,ERP CLOUD TECHNOLOGIES LLC,465.0,$90826
1077,TECHNOSOFT ENGINEERING INC,465.0,$65636
1078,D2SOL INC,465.0,$120798
1079,AQR CAPITAL MANAGEMENT LLC,465.0,$135715
1080,SKORUZ TECHNOLOGIES INC,465.0,$83747
1081,VENSAR TECHNOLOGY INC,465.0,$73985
1082,AMERICLOUD SOLUTIONS INC,465.0,$77644
1083,ANDHUS TECHNOLOGIES INC,463.0,$76144
1084,INFOTECH PRISM LLC,463.0,$81039
1085,ACCENZ LLC,462.0,$63105
1086,CORNERSTONE RESEARCH INC,462.0,$118397
1087,SCOTTLINE LLC,462.0,$88374
1088,LIQUIDHUB INC,462.0,$90652
1089,ANCESTRYCOM OPERATIONS INC,462.0,$123284
1090,TRANSAMERICA LIFE INSURANCE COMPANY,461.0,$82308
1091,AT KEARNEY INC,461.0,$135765
1092,BROCADE COMMUNICATIONS SYSTEMS INC,461.0,$129744
1093,ENTERNET BUSINESS SYSTEMS INC,460.0,$77860
1094,STUBHUB INC,460.0,$145738
1095,VAKTECH CORPORATION LLC,460.0,$75880
1096,AXISCADES INC,460.0,$68197
1097,E-BUSINESS INTERNATIONAL INC,460.0,$94587
1098,AMERICAN TECHNOLOGY CONSULTING LLC,460.0,$76402
1099,OBJECT FRONTIER INC,460.0,$77226
1100,NATIONAL FINANCIAL LLC,459.0,$83325
1101,GALAX-ESYSTEMS CORPORATION,459.0,$107679
1102,OASYS TECHNOLOGIES INC,459.0,$83341
1103,UNIVERSITY OF NEBRASKA MEDICAL CENTER,459.0,$57673
1104,POLARIS CONSULTING AND SERVICES LTD,458.0,$78292
1105,LENORA SYSTEMS INC,458.0,$83977
1106,MORNINGSTAR INC,458.0,$92262
1107,NARTAL SYSTEMS INC,457.0,$79121
1108,MAJESCO SOFTWARE AND SOLUTIONS INC,457.0,$90302
1109,DEXTRO SOFTWARE SYSTEMS INC,457.0,$74485
1110,MARSHFIELD CLINIC,457.0,$208227
1111,SOURCEINFOTECH INC,456.0,$73257
1112,INTEL MOBILE COMMUNICATIONS NORTH AMERICA,455.0,$103138
1113,THE VANGUARD GROUP,455.0,$122407
1114,MINDIQ SOLUTIONS INC,455.0,$70416
1115,BP AMERICA INC,454.0,$131593
1116,CAVALIER IT INC,454.0,$75106
1117,HURON CONSULTING SERVICES LLC,454.0,$108118
1118,COPART INC,453.0,$93604
1119,IT SPIN INC,453.0,$78053
1120,SANDISK CORPORATION,453.0,$116414
1121,ZENITH SERVICES INC,453.0,$73931
1122,SEVEN SEAS TECHNOLOGIES INC,453.0,$71954
1123,THE VERITAS HEALTHCARE SOLUTIONS LLC,453.0,$85798
1124,EDIFECS INC,453.0,$101179
1125,MU SIGMA INC,453.0,$86836
1126,SMART IT FRAME LLC,452.0,$70284
1127,BEST BUY CO INC,452.0,$117249
1128,SKIDMORE OWINGS & MERRILL LLP,451.0,$72342
1129,RENSSELAER POLYTECHNIC INSTITUTE,451.0,$64473
1130,ENLIGHTENED SOLUTIONS LLC,451.0,$76747
1131,WEBJECT SYSTEMS INC,451.0,$88672
1132,INFINERA CORPORATION,450.0,$126933
1133,PRICELINECOM LLC,450.0,$96676
1134,HOME DEPOT USA INC,450.0,$106263
1135,GSSR INC,450.0,$91409
1136,VARIAN MEDICAL SYSTEMS INC,450.0,$120876
1137,INTELLITRO INC,449.0,$106305
1138,EFICENS SYSTEMS LLC,449.0,$89655
1139,QUINNOX INC,449.0,$79363
1140,FIRST REPUBLIC BANK,448.0,$138447
1141,VED SOFTWARE SERVICES INC,448.0,$79180
1142,KLA CORPORATION,447.0,$123387
1143,ANVETA INC,447.0,$78898
1144,LORSIV TECHNOLOGIES INC,446.0,$67382
1145,OKLAHOMA STATE UNIVERSITY,445.0,$59430
1146,BROWN UNIVERSITY,445.0,$78405
1147,FOOD AND DRUG ADMINISTRATION HHS,445.0,$97576
1148,MEDLINE INDUSTRIES INC,445.0,$103241
1149,NUMBERS ONLY INC,445.0,$81071
1150,CEREBRAL TECHNOLOGIES INC,445.0,$83401
1151,KINECTRA LLC,444.0,$77106
1152,TEKSKY LLC,444.0,$85018
1153,NIXSOL INC,444.0,$68931
1154,DATABRICKS INC,444.0,$144598
1155,SAINT LOUIS UNIVERSITY,444.0,$92817
1156,A9COM INC,443.0,$143755
1157,INNOMINDS SOFTWARE INC,443.0,$98124
1158,UNIVERSITY OF SOUTH FLORIDA,443.0,$76662
1159,M3BI LLC,443.0,$99650
1160,EDGE IT CORP,443.0,$72615
1161,NEO TECH SOLUTIONS INC,442.0,$79229
1162,DUCK CREEK TECHNOLOGIES LLC,442.0,$98419
1163,PROGRESSIVE CASUALTY INSURANCE COMPANY,442.0,$94132
1164,TENAZX INC,442.0,$70596
1165,TALENT9 INC,441.0,$75399
1166,NOMURA AMERICA SERVICES LLC,441.0,$107917
1167,ZEBRA TECHNOLOGIES CORPORATION,441.0,$97190
1168,NAVITAS BUSINESS CONSULTING INC,441.0,$78463
1169,STANFORD HEALTH CARE,440.0,$106628
1170,AIRYSOFT INC,440.0,$64537
1171,I3 INFOTEK INC,440.0,$85660
1172,CCC INFORMATION SERVICES INC,440.0,$83320
1173,NOVO PROSO INC,440.0,$65933
1174,ESG AUTOMOTIVE INC,439.0,$81893
1175,PROPELSYS TECHNOLOGIES LLC,439.0,$78768
1176,WOLTERS KLUWER UNITED STATES INC,439.0,$111080
1177,AIRWATCH LLC,437.0,$84378
1178,CMC AMERICAS INC,437.0,$72127
1179,ARKSTEK INC,436.0,$80347
1180,JRD SYSTEMS INC,436.0,$63083
1181,VERTEX PHARMACEUTICALS INCORPORATED,436.0,$103363
1182,CLEMSON UNIVERSITY,436.0,$72927
1183,GLOBAL IT INC,436.0,$73778
1184,WB SOLUTIONS LLC,436.0,$88097
1185,LS SOLUTIONS INC,435.0,$88475
1186,VLS SYSTEMS INC,435.0,$85462
1187,SHUTTERFLY INC,433.0,$120066
1188,MASTECH DIGITAL CONSULTING INC,433.0,$93932
1189,GARMIN INTERNATIONAL INC,433.0,$92081
1190,BILL ME LATER INC,432.0,$113760
1191,REMOTE TIGER INC,432.0,$85153
1192,LOUISIANA STATE UNIVERSITY AND A & M COLLEGE,432.0,$66947
1193,ARISTON TEK INC,432.0,$76052
1194,NATIONAL INSTRUMENTS CORPORATION,432.0,$89071
1195,EDISQUARE INC,432.0,$80420
1196,TWITCH INTERACTIVE INC,432.0,$148374
1197,TEKSKILLS INC,431.0,$80159
1198,PAREXEL INTERNATIONAL,431.0,$108628
1199,ZILLION TECHNOLOGIES INC,431.0,$79925
1200,ISPRINT TECHNOLOGIES LLC,431.0,$62673
1201,SUNMERGE SYSTEMS INC,430.0,$79242
1202,CHICAGO MERCANTILE EXCHANGE INC,430.0,$92928
1203,HORIZON CONSULTING INC,430.0,$76715
1204,BRIDGEWATER ASSOCIATES LP,429.0,$116778
1205,ZYLOG SYSTEMS LTD,429.0,$70239
1206,SELSOFT INC,429.0,$61903
1207,CORPORATE SOLUTIONS GENERAL INC,428.0,$90140
1208,VIRTUOSO TECHNOLOGIES INC,428.0,$71895
1209,MICROLAND LIMITED,428.0,$76393
1210,ISR INFO WAY INC,428.0,$89442
1211,INDUS GROUP INC,428.0,$78312
1212,RAYMOND JAMES & ASSOCIATES INC,428.0,$98093
1213,AKVELON INC,427.0,$98304
1214,ALTEN TECHNOLOGY USA INC,427.0,$76228
1215,EAST WEST BANK,425.0,$98239
1216,QORVO US INC,425.0,$93582
1217,BALTIMORE CITY PUBLIC SCHOOLS,425.0,$80567
1218,COMPUTER GLOBAL SOLUTIONS INC,425.0,$78352
1219,LEXISNEXIS RISK SOLUTIONS INC,425.0,$89989
1220,ENQUERO INC,425.0,$117334
1221,MULTIVISION INC,424.0,$70317
1222,BAHWAN CYBERTEK INC,424.0,$86959
1223,R SYSTEMS INC,424.0,$89340
1224,HDR ENGINEERING INC,424.0,$81542
1225,HITACHI VANTARA LLC,424.0,$103053
1226,APTTUS CORPORATION,424.0,$122331
1227,PHARMACEUTICAL RESEARCH ASSOCIATES INC,424.0,$98113
1228,KYYBA INC,424.0,$75184
1229,TEKWISSEN LLC,423.0,$76837
1230,MANSAI INC,423.0,$71036
1231,ZIONTECH SOLUTIONS INC,423.0,$91394
1232,C2S TECHNOLOGIES INC,423.0,$82653
1233,COLORADO STATE UNIVERSITY,423.0,$66206
1234,DATA SOLUTIONS INC,422.0,$76315
1235,ECOM CONSULTING INC,422.0,$77761
1236,SPLENDTEK INC,422.0,$60402
1237,EXPERIAN INFORMATION SOLUTIONS INC,421.0,$121791
1238,CLIENT NETWORK SERVICES LLC,421.0,$106445
1239,T ROWE PRICE ASSOCIATES INC,421.0,$98065
1240,LUCID TECHNOLOGIES INC,420.0,$76358
1241,TECHSTAR CONSULTING INC,420.0,$78826
1242,SECUREWORKS INC,420.0,$101941
1243,MHK TECH INC,419.0,$83916
1244,ATIEVA USA INC,419.0,$126935
1245,CHEVRON CORPORATION,418.0,$154230
1246,TEKSYSTEMS GLOBAL SERVICES LLC,418.0,$119025
1247,AMERICAN BUSINESS SOLUTIONS INC,417.0,$77207
1248,SATYA MARG SOLUTIONS INC,416.0,$82886
1249,TABLEAU SOFTWARE INC,416.0,$120382
1250,MAST TECHNOLOGY SERVICES INC,416.0,$91103
1251,GENOME INTERNATIONAL CORPORATION,416.0,$72594
1252,TIMESQUARE IT INC,416.0,$83478
1253,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,416.0,$93296
1254,STANFORD UNIVERSITY/SLAC NATIONAL ACCELERATOR LABORATORY,416.0,$94369
1255,UNIVERSITY OF ARKANSAS,415.0,$62792
1256,FIRST OBJECT INC,415.0,$76921
1257,AUBURN UNIVERSITY,415.0,$73015
1258,CORNING INCORPORATED,415.0,$102304
1259,UNIVERSITY OF OREGON,415.0,$70607
1260,THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,414.0,$73160
1261,MICROSTRATEGY INC,414.0,$95028
1262,CODE TECH INC,413.0,$76654
1263,UNIVERSITY OF SOUTH CAROLINA,413.0,$54090
1264,TETRASOFT INC,413.0,$83613
1265,EQUINOX IT SOLUTIONS LLC,413.0,$77007
1266,TRIANZ CONSULTING INC,413.0,$97133
1267,GAVS TECHNOLOGIES NA INC,413.0,$77918
1268,ICS GLOBAL SOFT INC,412.0,$85045
1269,MILLENNIUM SOFTWARE INC,412.0,$86779
1270,ADVANCED TECHNOLOGY GROUP USA INC,412.0,$71794
1271,PROWISE SOLUTIONS INC,412.0,$85001
1272,PERFORMANCE RESOURCES NY INC,411.0,$74847
1273,DICE IT SOLUTIONS LLC,411.0,$80555
1274,CORE IT SOLUTIONS INC,411.0,$71873
1275,INFODRIVE SYSTEMS INC,411.0,$81986
1276,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,411.0,$130821
1277,INNOVATIVE CONSULTING SOLUTIONS LLC,411.0,$81615
1278,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,410.0,$92973
1279,SAMITI TECHNOLOGY INC,410.0,$81707
1280,MOBILE PROGRAMMING LLC,410.0,$84305
1281,ERP GLOBAL INC,410.0,$77016
1282,AMERICAN TECH VISION SOLUTIONS LLC,410.0,$78585
1283,GVA INFOTECH INC,410.0,$84756
1284,STANLEY BLACK & DECKER INC,410.0,$98859
1285,EPITEC INC,409.0,$81299
1286,BLUE SHIELD OF CALIFORNIA,409.0,$114395
1287,AMERIPRISE FINANCIAL INC,409.0,$99638
1288,STANTEC CONSULTING SERVICES INC,409.0,$81339
1289,GOMIAPP LLC,409.0,$79212
1290,GLOBAL INFORMATION TECHNOLOGY INC,409.0,$78037
1291,NEW YORK CITY DEPARTMENT OF EDUCATION,409.0,$56885
1292,MASTECH DIGITAL SERVICES INC,408.0,$91562
1293,SIRIUS XM RADIO INC,408.0,$122726
1294,DANLAW INC,408.0,$84693
1295,EMETEORS INC,408.0,$64580
1296,INTELLISOFT TECHNOLOGIES INC,408.0,$78010
1297,PACE COMPUTER SOLUTIONS INC,408.0,$93136
1298,FRACTAL ANALYTICS INC,407.0,$85837
1299,LIFE TECHNOLOGIES CORPORATION,407.0,$87761
1300,GRUBHUB HOLDINGS INC,407.0,$124221
1301,NICIRA INC,406.0,$143041
1302,CORNERSTONE ONDEMAND INC,406.0,$111338
1303,GEEKSOFT LLC,406.0,$82239
1304,CITADEL SECURITIES AMERICAS LLC,406.0,$173387
1305,SIGNATURE IT SOLUTIONS INC,406.0,$73148
1306,THE UNIVERSITY OF ALABAMA,405.0,$75332
1307,ITECH ANALYST CORP,405.0,$71937
1308,ITLIZE GLOBAL LLC,405.0,$72715
1309,DPR CONSTRUCTION A GENERAL PARTNERSHIP,405.0,$88532
1310,THE ALLIANCE FOR SUSTAINABLE ENERGY LLC,405.0,$62246
1311,APPLEXUS TECHNOLOGIES LLC,404.0,$81845
1312,INFINITY TECH GROUP INC,404.0,$84604
1313,EPACE TECHNOLOGIES INC,404.0,$80809
1314,CRESTTEK LLC,403.0,$75310
1315,HOMESITE GROUP INC,403.0,$101207
1316,SOLUTION IT,403.0,$93679
1317,PRECISION TECHNOLOGIES CORP,402.0,$65335
1318,SKILL VOICE INC,402.0,$85616
1319,VST CONSULTING INC,402.0,$68158
1320,SYDATA INC,401.0,$81945
1321,SPARTAN SOLUTIONS INC,401.0,$87980
1322,INTELLIPRO GROUP INC,401.0,$84169
1323,BLACKROCK CAPITAL MANAGEMENT INC,400.0,$68921
1324,OMNIVISION TECHNOLOGIES INC,400.0,$117815
1325,CORP2CORP INC,400.0,$71079
1326,PIVOTAL SOFTWARE INC,400.0,$144012
1327,AMERICAN IT SOLUTIONS INC,400.0,$73625
1328,EBIX INC,400.0,$86285
1329,TEXARA SOLUTIONS LLC,400.0,$73735
1330,SAFEWAY INC,400.0,$146033
1331,BLACKROCK INSTITUTIONAL TRUST COMPANY NA,400.0,$99771
1332,SUSQUEHANNA INTERNATIONAL GROUP LLP,399.0,$82971
1333,GALLEGA SOFTWARE SOLUTIONS INC,399.0,$65424
1334,FMR CO INC,399.0,$87408
1335,STRATEGIC SYSTEMS INC,399.0,$77019
1336,PROTOCOL INFOTECH INC DUNS# 830803735,399.0,$70251
1337,DUKE UNIVERSITY,399.0,$77808
1338,SIRA CONSULTING INC,399.0,$82128
1339,UTIS,398.0,$79251
1340,DEW SOFTWARE INC,398.0,$90396
1341,VALEO NORTH AMERICA INC,398.0,$85664
1342,PANASONIC AVIONICS CORPORATION,397.0,$109572
1343,EXA DATA SOLUTIONS INC,397.0,$84013
1344,CHOICE HOTELS INTERNATIONAL SERVICES CORP,397.0,$96334
1345,ROBINHOOD MARKETS INC,397.0,$160096
1346,AGAP TECHNOLOGIES INC,396.0,$80287
1347,MOODY'S INVESTORS SERVICE INC,396.0,$117671
1348,OBJECT TECHNOLOGY SOLUTIONS INC,396.0,$72617
1349,RELIABLE SOFTWARE RESOURCES,395.0,$88619
1350,ETEAM SOLUTIONS INC,395.0,$70886
1351,BAANYAN SOFTWARE SERVICES,395.0,$75748
1352,AVVENTIS INC,395.0,$83870
1353,QUALIHI SOFTWARE SOLUTIONS INC,395.0,$65011
1354,P3 GEEKS INC,395.0,$74624
1355,CELER SYSTEMS INC,395.0,$83287
1356,MEDIDATA SOLUTIONS INC,395.0,$117872
1357,THE ROCKEFELLER UNIVERSITY,394.0,$67771
1358,SHUBH SOLUTIONS LLC,394.0,$70637
1359,UNIKON IT INC,394.0,$75363
1360,BLIZZARD ENTERTAINMENT INC,393.0,$111686
1361,AIM BIG INC,393.0,$76829
1362,DECIPHER SOFTWARE SOLUTIONS,393.0,$81639
1363,FARADAY & FUTURE INC,393.0,$115344
1364,ILINK SYSTEMS INC,393.0,$88149
1365,MSRCOSMOS LLC,393.0,$81506
1366,CLOUDRAY INC,392.0,$77473
1367,SOFTCORP INTERNATIONAL INC,391.0,$77018
1368,AKHSAYA INC,391.0,$72325
1369,UNITED IT SOLUTIONS INC,391.0,$72420
1370,DAZ SYSTEMS INC,391.0,$124480
1371,MYAPPSHUB LLC,391.0,$92706
1372,WHIZ IT SOLUTIONS INC,390.0,$69395
1373,SYSTEL INC OF DELAWARE,390.0,$73530
1374,SALIGRAM SYSTEMS INC,390.0,$81321
1375,APTIVA CORP,390.0,$75999
1376,SWIFT SOLUTIONS INC,389.0,$78889
1377,FIDELIS SOFTWARE SOLUTIONS LLC,389.0,$74325
1378,KBR INC,388.0,$118418
1379,FIRST CONSULTING GROUP LLC,388.0,$77061
1380,THE SIEGFRIED GROUP LLP,388.0,$104459
1381,STRATEDGE INC,388.0,$79756
1382,INFOLOGITECH INC,387.0,$74763
1383,ALTRAN US CORP,387.0,$90840
1384,SOFTECH INTERNATIONAL RESOURCES INC,387.0,$74136
1385,LOS ALAMOS NATIONAL SECURITY LLC,387.0,$92888
1386,THE UNIVERSITY OF KANSAS,387.0,$68751
1387,GENIUS MINDS LLC,387.0,$76336
1388,PROSPANCE INC,387.0,$94587
1389,STERLING 5 INC,386.0,$84745
1390,LENOVO (UNITED STATES) INC,386.0,$89920
1391,MIRACLE SOFTWARE SYSTEMS INC,386.0,$88754
1392,CORPORATE COMPUTER SERVICES INC,386.0,$71412
1393,EMAESTRO TECHNOLOGIES INC,385.0,$74456
1394,BOR USGA OBO AUGUSTA UNIVERSITY,385.0,$98533
1395,HARMAN BECKER AUTOMOTIVE SYSTEMS INC,385.0,$106819
1396,CSXTECH INC,385.0,$79560
1397,TECHORBIT INC,385.0,$79296
1398,FLEXTRONICS INTERNATIONAL USA INC,384.0,$106615
1399,NOMURA SECURITIES INTERNATIONAL INC,384.0,$122517
1400,MARKIT NORTH AMERICA INC,384.0,$95115
1401,COINBASE INC,384.0,$169947
1402,WSP USA INC,384.0,$90441
1403,ADI WORLDLINK LLC,384.0,$98747
1404,MODEL N INC,384.0,$112839
1405,TEK TREE LLC,384.0,$77920
1406,SILICON LABORATORIES INC,384.0,$101369
1407,PRIMESOFT INC,384.0,$73078
1408,W/H/I/P SYSTEMS LLC D/B/A AROGHIA GROUP LLC,383.0,$83470
1409,RALLY HEALTH INC,383.0,$127899
1410,IT PEOPLE CORPORATION,383.0,$81166
1411,THOMAS JEFFERSON UNIVERSITY,382.0,$96938
1412,HINDUJA TECH INC,382.0,$73991
1413,DATA-CORE SYSTEMS INC,382.0,$77225
1414,PERFECTVIPS INC,381.0,$115731
1415,SGS TECHNOLOGIE LLC,381.0,$79010
1416,BANK OF CHINA,381.0,$66415
1417,LEXISNEXIS USA,381.0,$98147
1418,UNIVERSITY OF LOUISVILLE,381.0,$91481
1419,VITECH SYSTEMS GROUP INC,380.0,$115007
1420,KAIZEN TECHNOLOGIES INC,380.0,$77766
1421,MCAFEE LLC,380.0,$112583
1422,PALAYEKAR COMPANIES INC,380.0,$82834
1423,TRIZETTO CORPORATION A COGNIZANT COMPANY,380.0,$86008
1424,EGROVE SYSTEMS CORPORATION,380.0,$73527
1425,THE BROAD INSTITUTE INC,380.0,$77672
1426,FLEXTON INC,380.0,$119980
1427,AKT LLC,379.0,$68554
1428,MISSISSIPPI STATE UNIVERSITY,379.0,$72268
1429,VIGNA INC,378.0,$69685
1430,AMITI CONSULTING INC,378.0,$86658
1431,TEKSTROM INC,378.0,$79880
1432,CLOUD HUB IT SOLUTIONS INC,378.0,$91543
1433,THE DEPOSITORY TRUST AND CLEARING CORPORATION,377.0,$116585
1434,ALBERT EINSTEIN COLLEGE OF MEDICINE,377.0,$61923
1435,IBS SOFTWARE SERVICES AMERICAS INC,377.0,$75130
1436,SPI MANAGEMENT SERVICES LLC,377.0,$71080
1437,CLEVELAND CLINIC FOUNDATION,377.0,$137991
1438,UNIVERSITY OF MASSACHUSETTS AMHERST,376.0,$81922
1439,GLOBAL DATA MANAGEMENT INC,376.0,$88659
1440,XENONINFOTEK INC,376.0,$69736
1441,SYNERGY TECHNOLOGIES LLC,376.0,$80840
1442,RSM US LLP,376.0,$100029
1443,SEMICONDUCTOR COMPONENTS INDUSTRIES LLC,375.0,$95585
1444,EPEOPLE TECHNOLOGIES INC,375.0,$86597
1445,CIRA INFOTECH INC,375.0,$76473
1446,NEW YORK LIFE INSURANCE COMPANY,375.0,$115963
1447,NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,374.0,$116158
1448,TECHNOVISION SOLUTION LLC,374.0,$76818
1449,CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION LABORATORY,374.0,$100424
1450,MERKLE INC,374.0,$107217
1451,APTUDE INC,373.0,$87518
1452,LOGISTIC SOLUTIONS INC,373.0,$77294
1453,NAM INFO INC,373.0,$77201
1454,SVV INFOTECH INC,373.0,$66848
1455,PREMIER IT SOLUTIONS INC,372.0,$65035
1456,THE DEVEREUX FOUNDATION,372.0,$33962
1457,TANVI IT SOLUTIONS INC,372.0,$83356
1458,RINGCENTRAL INC,372.0,$137171
1459,FMR LLC,372.0,$84706
1460,MAJESCO,372.0,$92295
1461,CAMBAY CONSULTING LLC,372.0,$75110
1462,THE METHODIST HOSPITAL RESEARCH INSTITUTE,372.0,$61806
1463,COHESITY INC,372.0,$142815
1464,UNIVERSITY OF CINCINNATI,371.0,$70409
1465,ALIXPARTNERS LLP,371.0,$150011
1466,RANG TECHNOLOGIES INC,371.0,$81505
1467,PROSWIFT CONSULTING LLC,370.0,$75405
1468,SOFTOVAINC,370.0,$80541
1469,AMERITECH GLOBAL INC,369.0,$76889
1470,COLLASYS LLC,369.0,$81279
1471,ESURANCE INSURANCE SERVICES INC,369.0,$111854
1472,INTERNATIONAL SYSTEMS TECHNOLOGIES INC,369.0,$73841
1473,CIENA CORPORATION,369.0,$123368
1474,INFOSYTECH SOLUTIONS INC,369.0,$72901
1475,P3 NORTH AMERICA INC,368.0,$78778
1476,DATAWIN SYSTEMS INC,368.0,$78247
1477,SILVERXIS INC,368.0,$76515
1478,TRIAD NATIONAL SECURITY LLC,368.0,$103438
1479,MEGATRENDZ MEDIA USA INC,368.0,$67696
1480,PHILIPS NORTH AMERICA LLC,367.0,$107923
1481,HUDSON DATA LLC,367.0,$78612
1482,TEKINVADERZ LLC,366.0,$81858
1483,INFO WAY SOLUTIONS LLC,366.0,$84688
1484,CVENT INC,366.0,$99930
1485,MOLEX LLC,366.0,$84630
1486,DONATO TECHNOLOGIES INC,366.0,$85137
1487,SNAP IT SOLUTIONS INC,366.0,$84734
1488,INFOSMART SYSTEMS INC,366.0,$64956
1489,INFOSMART TECHNOLOGIES INC,365.0,$70348
1490,TELLIGEN TECH INC,365.0,$89115
1491,THE SPHERE INSTITUTE,365.0,$70522
1492,CROSSCOUNTRY CONSULTING LLC,364.0,$86838
1493,O2 TECHNOLOGIES INC,364.0,$90668
1494,INFOWAVE SYSTEMS INC,364.0,$84877
1495,AKKEN INC,363.0,$73497
1496,TTS SOLUTIONSINC,363.0,$72058
1497,THE SCRIPPS RESEARCH INSTITUTE,363.0,$63558
1498,TRENDSET IT INC,362.0,$80407
1499,RUBRIK INC,362.0,$156570
1500,CAVIUM INC,361.0,$122370
1501,FPT USA CORP,361.0,$72303
1502,THE UNIVERSITY OF KANSAS MEDICAL CENTER,361.0,$101906
1503,APPDYNAMICS INC,361.0,$137498
1504,JDA SOFTWARE INC,360.0,$92756
1505,BED BATH & BEYOND INC,360.0,$124783
1506,PROSPER MARKETPLACE INC,359.0,$116806
1507,TEKSOFT SYSTEMS INC,359.0,$86847
1508,BETH ISRAEL DEACONESS MEDICAL CENTER INC,358.0,$67875
1509,UNIVERSITY OF CENTRAL FLORIDA,358.0,$82382
1510,ENIAC SYSTEMS INC,358.0,$88535
1511,LIVE NATION WORLDWIDE INC,358.0,$116044
1512,COMPETENT SYSTEMS INC,358.0,$68593
1513,ACADIA TECHNOLOGIES INC,358.0,$74388
1514,METHODICA TECHNOLOGIES LLC,358.0,$75422
1515,AKSHAYA INC,358.0,$110834
1516,PROSOFT IT SERVICES INC,357.0,$76508
1517,GEORGIA STATE UNIVERSITY,357.0,$72555
1518,LSU HEALTH SCIENCES CENTER,357.0,$150205
1519,PRODAPT NORTH AMERICA,357.0,$90853
1520,DELOITTE SERVICES LP,357.0,$94189
1521,HERBALIFE INTERNATIONAL OF AMERICA INC,357.0,$118896
1522,INFODAT INTERNATIONAL INC,356.0,$82257
1523,WRIGHT CENTER FOR GRADUATE MEDICAL EDUCATION,356.0,$62561
1524,NIAGARA BOTTLING LLC,355.0,$90677
1525,OPTIMAL CAE INC,355.0,$78487
1526,QUALYS INC,355.0,$118401
1527,EUCLID ELEMENTZ INC,355.0,$72846
1528,BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE,354.0,$66854
1529,TEK SERVICES LLC,354.0,$66211
1530,GLOBALTEK SYSTEMS LLC,354.0,$65932
1531,SCHAEFFLER GROUP USA INC,354.0,$77662
1532,NETWORK OBJECTS INC,354.0,$94472
1533,ARCHER DANIELS MIDLAND COMPANY,354.0,$89490
1534,TEVA PHARMACEUTICALS USA INC,353.0,$106775
1535,BRISTLECONE INC,353.0,$103197
1536,THE ADVISORY BOARD COMPANY,353.0,$88151
1537,AGILENT TECHNOLOGIES INC,353.0,$108778
1538,SYNERGY GLOBAL TECHNOLOGIES INC,352.0,$83686
1539,WILLIAMS-SONOMA INC,352.0,$114704
1540,PROOFPOINT INC,351.0,$135870
1541,THOMSON REUTERS (MARKETS) LLC,351.0,$108057
